DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200200760,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1620,02,Rampart,0241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0334 0445 0416 1822 1218 0429 1223 0400,45,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,6TH                          ST,BENTON                       WY,34.0628,-118.2821
201115543,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1500,11,Northeast,1183,1,330,BURGLARY FROM VEHICLE,0344 1612,42,M,W,101,STREET,,,IC,Invest Cont,330,,,,1600 N  ALVARADO                     ST,,34.0834,-118.2599
200320615,11/18/2020 12:00:00 AM,11/11/2020 12:00:00 AM,2300,03,Southwest,0327,1,480,BIKE - STOLEN,0344 1822,22,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480,,,,2600    ORCHARD                      AV,,34.0303,-118.2874
200200724,06/05/2020 12:00:00 AM,06/04/2020 12:00:00 AM,1850,02,Rampart,0202,2,624,BATTERY - SIMPLE ASSAULT,0913 0554 0508 0602 2001,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,4300    NORMAL                       AV,,34.0888,-118.2881
201007153,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,0640,10,West Valley,1001,2,888,TRESPASSING,1822 2004,45,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,888,,,,19500    INGOMAR                      ST,,34.212,-118.5579
201308239,03/16/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2300,13,Newton,1333,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1202 0329,62,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,,,IC,Invest Cont,745,,,,1000 E  28TH                         ST,,34.0175,-118.2574
200506936,03/09/2020 12:00:00 AM,03/08/2020 12:00:00 AM,1830,05,Harbor,0506,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WESTERN                      AV,221ST                        ST,33.8268,-118.309
201217850,08/04/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1000,12,77th Street,1249,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1814 0913,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6700 S  FIGUEROA                     ST,,33.9786,-118.2827
200310566,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,0950,03,Southwest,0356,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 0344 1822,37,M,B,402,MARKET,,,IC,Invest Cont,440,,,,1700 W  JEFFERSON                    BL,,34.0256,-118.3061
201222029,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,1800,12,77th Street,1268,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 1813 2000 2002,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,100 E  84TH                         PL,,33.9619,-118.2717
201211083,04/17/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1700,12,77th Street,1209,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLOWER                       ST,49TH                         ST,33.9983,-118.2813
201209876,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1650,12,77th Street,1263,1,210,ROBBERY,,0,M,W,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,2000 W  80TH                         ST,,33.9664,-118.3134
201009044,05/15/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1315,10,West Valley,1049,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1606,0,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,16800    BURBANK                      BL,,34.1718,-118.4993
201110399,06/13/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1700,11,Northeast,1145,1,330,BURGLARY FROM VEHICLE,0385,34,F,O,101,STREET,,,IC,Invest Cont,330,,,,2400 N  ALVARADO                     ST,,34.097,-118.2518
201307829,03/09/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1600,13,Newton,1309,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,900    MATEO                        ST,,34.0326,-118.2322
200311518,05/18/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1900,03,Southwest,0373,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1612 1202,65,M,B,101,STREET,,,IC,Invest Cont,520,,,,3900    HUBERT                       AV,,34.0142,-118.3281
200304274,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2030,03,Southwest,0377,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0311 1202,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1200    BROWNING                     BL,,34.0121,-118.2968
200119934,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,0645,01,Central,0128,2,354,THEFT OF IDENTITY,0377,49,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 E  1ST                          ST,,34.0512,-118.2419
200814436,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1100,08,West LA,0885,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10200    CRESTA                       DR,,34.0417,-118.4041
200316872,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,0900,03,Southwest,0392,1,330,BURGLARY FROM VEHICLE,1822 1601 0344 0386 1300,38,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5100    CRENSHAW                     BL,,33.9967,-118.3306
200911119,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,2300,09,Van Nuys,0906,1,330,BURGLARY FROM VEHICLE,0344,37,M,O,101,STREET,,,IC,Invest Cont,330,,,,14200    LEADWELL                     ST,,34.2041,-118.4425
